name,id,azimuth,elevation,distance,channel_analog,TDT_analog,TDT_idx_analog,channel_digital,TDT_digital,TDT_idx_digital
-3,0,-52.5,25,1.4,22,RX8,2,,,
-3,1,-52.5,12.5,1.4,19,RX8,2,,,
-3,2,-52.5,0,1.4,20,RX8,2,,,
-3,3,-52.5,-12.5,1.4,21,RX8,2,,,
-3,4,-52.5,-25,1.4,18,RX8,2,,,
-2,5,-35,37.5,1.4,23,RX8,2,,,
-2,6,-35,25,1.4,3,RX8,2,,,
-2,7,-35,12.5,1.4,4,RX8,2,,,
-2,8,-35,0,1.4,1,RX8,2,,,
-2,9,-35,-12.5,1.4,2,RX8,2,,,
-2,10,-35,-25,1.4,24,RX8,2,,,
-2,11,-35,-37.5,1.4,17,RX8,2,,,
-1,12,-17.5,37.5,1.4,12,RX8,1,,,
-1,13,-17.5,25,1.4,11,RX8,1,,,
-1,14,-17.5,12.5,1.4,10,RX8,1,,,
-1,15,-17.5,0,1.4,9,RX8,1,,,
-1,16,-17.5,-12.5,1.4,7,RX8,2,,,
-1,17,-17.5,-25,1.4,8,RX8,2,,,
-1,18,-17.5,-37.5,1.4,5,RX8,2,,,
0,19,0,50,1.4,5,RX8,1,,,
0,20,0,37.5,1.4,4,RX8,1,,,
0,21,0,25,1.4,3,RX8,1,,,
0,22,0,12.5,1.4,2,RX8,1,,,
0,23,0,0,1.4,1,RX8,1,,,
0,24,0,-12.5,1.4,16,RX8,1,,,
0,25,0,-25,1.4,15,RX8,1,,,
0,26,0,-37.5,1.4,14,RX8,1,,,
0,27,0,-50,1.4,13,RX8,1,,,
1,28,17.5,37.5,1.4,19,RX8,1,,,
1,29,17.5,25,1.4,20,RX8,1,,,
1,30,17.5,12.5,1.4,17,RX8,1,,,
1,31,17.5,0,1.4,18,RX8,1,,,
1,32,17.5,-12.5,1.4,8,RX8,1,,,
1,33,17.5,-25,1.4,7,RX8,1,,,
1,34,17.5,-37.5,1.4,6,RX8,1,,,
2,35,35,37.5,1.4,13,RX8,1,,,
2,36,35,25,1.4,10,RX8,1,,,
2,37,35,12.5,1.4,15,RX8,1,,,
2,38,35,0,1.4,23,RX8,1,,,
2,39,35,-12.5,1.4,24,RX8,1,,,
2,40,35,-25,1.4,21,RX8,1,,,
2,41,35,-37.5,1.4,22,RX8,1,,,
3,42,52.5,25,1.4,16,RX8,2,,,
3,43,52.5,12.5,1.4,9,RX8,2,,,
3,44,52.5,0,1.4,14,RX8,2,,,
3,45,52.5,-12.5,1.4,11,RX8,2,,,
3,46,52.5,-25,1.4,12,RX8,2,,,
